Event.Id,Event.Date,Location,Make,Model,Engine.Type,Total.Fatal.Injuries,Total.Serious.Injuries,Broad.phase.of.flight,Aircraft.Category,Number.of.Engines
20171017X51841,2017-10-17,"Gustavus, OH",DIAMOND AIRCRAFT IND INC,DA 40,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171018X84308,2017-10-17,"Old Bridge, NJ",CESSNA,172,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171018X01510,2017-10-18,"Willmar, MN",CESSNA,150J,Reciprocating,0.0,1.0,NULL,Airplane,1.0
20171018X34200,2017-10-18,"Manteo, NC",BEECH,A24,Reciprocating,0.0,1.0,NULL,Airplane,1.0
20171018X84140,2017-10-18,"St. Petersburg, FL",CESSNA,402,Reciprocating,0.0,2.0,NULL,Airplane,2.0
20171019X83818,2017-10-18,"Sidney, NY",THOMAS G PARKHURST,KITFOX IV,Reciprocating,0.0,2.0,NULL,Airplane,1.0
20171019X70539,2017-10-19,"Bowie, AZ",Peterson Lancair,Legacy,Reciprocating,1.0,0.0,NULL,Airplane,1.0
20171023X45710,2017-10-19,"Port Mansfield, TX",PIPER,PA 32RT-300T,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171020X15857,2017-10-20,"Farmville, VA",STAUDACHER JON,S 600F,Reciprocating,0.0,1.0,NULL,Airplane,1.0
20171021X11648,2017-10-21,"San Carlos, CA",CIRRUS DESIGN CORP,SR22T,Reciprocating,0.0,2.0,NULL,Airplane,1.0
20171021X33005,2017-10-21,"Four Corners, CA",Flugzeugproduktions-und Vertri,EA 300/L,Reciprocating,2.0,0.0,NULL,Airplane,1.0
20171022X15558,2017-10-21,"Anchorage, AK",RAYTHEON AIRCRAFT COMPANY,B200,Turbo Prop,0.0,0.0,NULL,Airplane,2.0
20171022X92050,2017-10-21,"New Bern, NC",CESSNA,120,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171024X22615,2017-10-21,"Gerlach, NV",CHAMPION,7GC,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171022X22246,2017-10-22,"Williamsport, PA",AVIAT AIRCRAFT INC,A1,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171022X74256,2017-10-22,"Salinas, CA",AERONCA,7DC,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171023X81254,2017-10-22,"Pottsville, PA",CESSNA,150,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171023X93558,2017-10-22,"Dayton, OH",GREAT LAKES,2T 1A 2,Reciprocating,0.0,0.0,NULL,Airplane,1.0
20171024X22125,2017-10-23,"Darwin Aerodrome, Australia",CESSNA AIRCRAFT COMPANY,210L,Reciprocating,2.0,0.0,NULL,Airplane,1.0
